"Name","CAS","TotalnPub","AD","FTD","HD","MND","MS","PD","relisyr_list","MNDLogic","longlist","drugScreenLib","astrocyteMCB","MCBPositiveHit","proteinAggregation","WGCNApredictions","CNSPenetrance","p_CNSPenetrance","BNF"
"drug-23","38526-95-1",4,2,0,0,0,1,1,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.191947708372027,TRUE
"drug-24","71-78-3",1,0,0,1,0,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.221704406430945,TRUE
"drug-25","83527-72-4",3,0,0,3,0,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.11390630947426,TRUE
"drug-26","43276-72-6",21,18,0,0,0,2,1,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.282981881173328,TRUE
"drug-27","31-24-4",4,1,0,0,0,1,2,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.336367319338024,TRUE
"drug-28","89-52-2",4,1,0,0,0,1,2,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.36734890891239,TRUE
"drug-29","31-36-5",46,4,0,1,0,40,1,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0925009220372885,TRUE
"drug-30","312-34-1",2,0,0,0,0,2,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.576169935287908,TRUE
"drug-31","5681-94-1",4,1,0,0,0,1,2,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.537362694274634,TRUE
"drug-32","486-89-3",4,1,0,0,0,1,2,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.0158651077654213,TRUE
"drug-33","9218-62-1",0,0,0,0,0,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0335411760024726,TRUE
"drug-34","243-31-2",1,0,0,1,0,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.909910752670839,TRUE
"drug-35","1795-57-6",12,3,0,2,0,3,4,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.580760770943016,TRUE
"drug-36","354-76-7",1,0,0,0,0,1,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.665842271177098,TRUE
"drug-37","5271-82-8",54,1,0,0,3,48,2,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0580171989277005,TRUE
"drug-38","34896-57-3",3,0,0,0,0,3,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.814182170201093,TRUE
"drug-39","297-71-8",1,0,0,1,0,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.778837671736255,TRUE
"drug-40","964-25-3",7,5,0,2,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.29224627208896,TRUE
"drug-41","73918-85-2",7,3,0,1,0,1,2,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.053612602641806,TRUE
"drug-42","7926-76-1",7,3,0,0,2,0,2,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.974733782466501,TRUE
"drug-43","61-51-1",2,0,0,0,0,2,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.557242326671258,TRUE
"drug-44","587-79-2",1,1,0,0,0,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.376836120616645,TRUE
"drug-45","51738-64-5",2,0,0,0,0,2,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.163864547852427,TRUE
"drug-46","98527-74-9",1,0,0,0,0,1,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.261146594537422,TRUE
"drug-47","91-75-4",1,0,0,0,0,1,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.368518657051027,TRUE
"drug-48","679-96-6",7,3,0,1,0,1,2,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.799545160261914,TRUE
"drug-49","953-79-6",1,0,0,0,0,0,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.594453824451193,TRUE
"drug-50","61492-32-1",1,0,0,0,0,0,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.900625420734286,TRUE
"drug-51","41836-61-5",3,0,0,0,0,2,1,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.187088019680232,TRUE
"drug-52","4237-12-8",54,1,0,0,3,48,2,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.778631729539484,TRUE
"drug-53","1425-96-2",1,0,0,0,0,1,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.343848597258329,TRUE
"drug-54","45937-43-9",54,1,0,0,3,48,2,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.404853877611458,TRUE
"drug-55","8967-62-1",54,1,0,0,3,48,2,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.842229444999248,TRUE
"drug-56","7581-71-9",100,0,0,5,1,15,79,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.200062007876113,TRUE
"drug-57","239-74-6",10,0,0,0,0,10,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.448450132273138,TRUE
"drug-58","926-74-8",1,0,0,0,0,1,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.771197838475928,TRUE
"drug-59","54-32-9",4,0,0,0,0,4,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.147765585687011,TRUE
"drug-60","3472-39-4",4,0,0,0,0,4,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.810972876381129,TRUE
"drug-61","85641-98-2",1,0,0,0,1,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0.601589012658224,TRUE
"drug-62","28-84-4",2,2,0,0,0,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.986746469745412,TRUE
"drug-63","54-59-7",5,0,0,0,1,1,3,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.166634190129116,TRUE
"drug-64","26834-92-2",1,0,0,0,0,1,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.783265541074798,TRUE
"drug-65","19-65-2",6,4,0,2,0,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,0.625522166024894,TRUE
"drug-66","2834-74-7",4,1,0,0,0,1,2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.443845286499709,TRUE
"drug-67","87639-58-4",7,2,0,0,0,5,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.781119265593588,TRUE
"drug-68","935-85-7",1,0,0,0,0,1,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.194202176528051,TRUE
"drug-69","7829-71-9",8,0,0,1,0,0,7,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.294687200104818,TRUE
"drug-70","235-94-9",16,6,0,0,0,9,1,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,0.630392858292907,TRUE
"drug-71","12-54-5",16,6,0,0,0,9,1,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0617187155876309,TRUE
"drug-72","46-69-4",0,0,0,0,0,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.691711017629132,TRUE
"drug-73","426-84-2",1,0,0,0,0,1,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0.514713110169396,TRUE
"drug-74","934-38-3",1,0,0,0,0,1,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.387313649756834,TRUE
"drug-75","72856-82-4",1,0,0,0,0,1,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.709346113726497,TRUE
"drug-76","29176-95-8",1,0,0,0,0,1,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.758524514501914,TRUE
"drug-77","37816-12-6",1,0,0,0,0,1,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.804102474357933,TRUE
"drug-78","239-16-1",39,0,0,0,0,39,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.66197291854769,TRUE
"drug-79","42-82-7",1,0,0,0,0,1,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.34977447707206,TRUE
"drug-80","65-78-9",1,0,0,0,0,1,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.826442237012088,TRUE
"drug-81","9367-57-2",11,0,0,1,1,8,1,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.761800573673099,TRUE
"drug-82","71-31-9",4,0,0,0,1,3,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.295476643834263,TRUE
"drug-83","84192-85-2",4,1,0,0,0,1,2,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.214579997351393,TRUE
"drug-84","768-38-2",54,1,0,0,3,48,2,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.408318047178909,TRUE
"drug-85","5481-31-1",4,0,0,0,1,3,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.278960168827325,TRUE
"drug-86","258-38-5",7,3,0,1,0,1,2,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.406339566456154,TRUE
"drug-87","8754-15-4",54,1,0,0,3,48,2,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.384026812389493,TRUE
"drug-88","21-86-4",4,1,0,0,0,1,2,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.328146054409444,TRUE
"drug-89","934-67-3",0,0,0,0,0,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.852380169322714,TRUE
"drug-90","86-13-4",2,2,0,0,0,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.336195542244241,TRUE
"drug-91","4189-43-8",2,2,0,0,0,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.303665526909754,TRUE
"drug-92","942-47-1",7,3,0,1,0,1,2,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.343579418258741,TRUE
"drug-93","1256-79-7",3,3,0,0,0,0,0,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.150641835061833,TRUE
"drug-94","625-83-5",1,1,0,0,0,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.628162246895954,TRUE
"drug-95","358-27-3",54,1,0,0,3,48,2,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.138188133249059,TRUE
"drug-96","74835-34-7",69,0,0,2,2,1,64,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.065605768468231,TRUE
"drug-97","275-89-6",2,0,0,1,0,1,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.366085096262395,TRUE
"drug-98","14358-27-5",4,2,0,0,0,0,2,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.575698971515521,TRUE
"drug-99","73-71-6",10,1,0,0,0,1,8,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.148798038484529,TRUE
"drug-100","7425-59-3",2,0,0,0,0,2,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.611660355469212,TRUE
"drug-101","63-36-5",1,0,0,0,0,0,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.344438148429617,TRUE
"drug-102","845-35-4",16,0,0,3,0,11,2,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.48726612678729,TRUE
"drug-103","654-49-5",0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.919304913375527,TRUE
"drug-104","94186-92-1",1,0,0,0,0,1,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.911633426090702,TRUE
"drug-105","1627-24-9",6,2,0,0,0,2,2,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.170675935223699,TRUE
"drug-106","716-91-5",7,3,0,1,0,1,2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.916993893217295,TRUE
"drug-107","67-62-7",5,2,0,0,0,3,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0.647596537368372,TRUE
"drug-108","4957-82-9",71,0,0,0,0,0,71,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.433845672057942,TRUE
"drug-109","93276-23-2",71,0,0,0,0,0,71,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.577178544830531,TRUE
"drug-110","48172-32-5",4,0,0,0,0,4,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.153496823972091,TRUE
"drug-111","8629-49-9",4,0,0,0,1,3,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.845120629528537,TRUE
"drug-112","157-75-4",54,1,0,0,3,48,2,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.470934639452025,TRUE
"drug-113","46512-61-4",1,0,0,0,0,1,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.960055213887244,TRUE
"drug-114","13-93-1",1,0,0,0,0,1,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.952114715939388,TRUE
"drug-115","635-48-4",1,0,0,0,0,1,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.943866217276081,TRUE
"drug-116","35-61-7",1,0,0,0,1,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.112367078196257,TRUE
"drug-117","9864-69-6",5,4,0,0,1,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.764628509059548,TRUE
"drug-118","369-49-7",2,0,0,0,0,2,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.66313193552196,TRUE
"drug-119","47528-43-8",7,3,0,1,0,1,2,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.173306092387065,TRUE
"drug-120","64-29-3",7,3,0,1,0,1,2,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.547664423240349,TRUE
"drug-121","8193-56-3",54,1,0,0,3,48,2,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.0482629977632314,TRUE
"drug-122","37-43-3",54,1,0,0,3,48,2,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.217430949443951,TRUE
"drug-123","38762-48-2",14,1,0,0,0,12,1,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.633594850543886,TRUE
"drug-124","982-97-1",14,1,0,0,0,12,1,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.30263034440577,TRUE
"drug-125","9341-46-7",1,0,0,0,0,1,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.42012525908649,TRUE
"drug-126","14672-96-2",54,1,0,0,3,48,2,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.86992954602465,TRUE
"drug-127","915-18-2",7,3,0,1,0,1,2,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.954996415646747,TRUE
"drug-128","7342-65-6",5,5,0,0,0,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.510654879966751,TRUE
"drug-129","46897-91-7",54,1,0,0,3,48,2,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.844464422902092,TRUE
"drug-130","1265-62-1",4,1,0,0,0,1,2,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.538810142083094,TRUE
"drug-131","1364-53-5",5,0,0,0,0,3,2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0.43739126692526,TRUE
"drug-132","62945-59-8",1,0,0,0,0,1,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.883282026275992,TRUE
"drug-133","48-92-8",1,0,0,0,0,1,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.618686171481386,TRUE
"drug-134","53976-48-4",1,0,0,0,0,1,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.893144211731851,TRUE
"drug-135","8631-46-4",27,18,2,2,0,0,5,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.678742881398648,TRUE
"drug-136","32-16-9",27,18,2,2,0,0,5,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0262909107841551,TRUE
"drug-137","5872-16-2",27,0,0,0,0,27,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,0.320837080711499,TRUE
"drug-138","4891-93-5",1,0,0,0,0,0,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.670667298836634,TRUE
"drug-139","4892-98-2",0,0,0,0,0,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.885132563998923,TRUE
"drug-140","98-41-1",1,0,0,0,0,1,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.678544003516436,TRUE
"drug-141","26748-19-3",4,0,0,0,1,3,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.580533949425444,TRUE
"drug-142","79184-71-7",4,0,0,0,1,3,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.277654949342832,TRUE
"drug-143","18-97-2",2,2,0,0,0,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.870743387145922,TRUE
"drug-144","39854-21-2",1,1,0,0,0,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.603794710012153,TRUE
"drug-145","897-96-8",7,3,0,0,0,0,4,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.225705256685615,TRUE
"drug-146","31697-15-1",31,0,0,3,0,0,28,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0.742462499532849,TRUE
"drug-147","84693-93-5",1,1,0,0,0,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.440205522347242,TRUE
"drug-148","56-29-2",1,0,0,0,0,1,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.664680544752628,TRUE
"drug-149","68342-12-7",54,1,0,0,3,48,2,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.389253688743338,TRUE
"drug-150","7865-62-4",4,1,0,0,0,1,2,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.484601082745939,TRUE
"drug-151","83-48-6",7,3,0,1,0,1,2,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.131677638506517,TRUE
"drug-152","51-98-4",54,1,0,0,3,48,2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.107090066652745,TRUE
"drug-153","47159-41-1",13,7,0,0,0,1,5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.763950026128441,TRUE
"drug-154","3186-78-5",54,1,0,0,3,48,2,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.759770929813385,TRUE
"drug-155","297-42-2",6,2,0,0,0,2,2,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.371689573395997,TRUE
"drug-156","69-75-2",4,0,0,0,1,3,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.894832608057186,TRUE
"drug-157","21-69-2",4,0,0,0,1,3,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.201221538707614,TRUE
"drug-158","764-12-6",7,3,0,1,0,1,2,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.086420395411551,TRUE
"drug-159","81-17-4",4,3,0,0,0,0,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.994235371006653,TRUE
"drug-160","43-32-3",36,0,0,0,1,35,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.489035640843213,TRUE
"drug-161","34-18-3",36,0,0,0,1,35,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.600915104616433,TRUE
"drug-162","24869-17-5",21,0,0,0,1,18,2,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.888998354086652,TRUE
